created_at,user,retweet_count,text,clean_text,user_loc,country,user_followers_count,sentiment_polarity,sentiment,region
04-14-2017,BlackBerry_Mama,0.0,This is what the Kingdom of #Moab is known for in my Bible's #History. The Baal of Peor. Numbers 25. https://t.co/0dliO6OTX8,This is what the Kingdom of Moab is known for in my Bible s History The Baal of Peor Numbers 25 https t co 0dliO6OTX8,"Manhattan, NY",US,3355.0,0.0,neutral,USA
04-14-2017,rooftoptales,0.0,"Fins n' Things, 04.11.2017 // #sandflatsrecreationarea #moab #utah #landscape #geology… https://t.co/RCovNoFC7N",Fins n Things 04 11 2017 sandflatsrecreationarea moab utah landscape geology https t co RCovNoFC7N,"Greenville, SC",US,350.0,0.0,neutral,USA
04-14-2017,TeriosDaddy,0.0,"The following individuals killed more people than the #moab 
Gary Ridgeway
Pedro Alonso
Omar Mateen (in one night)
John Wayne Gacy",The following individuals killed more people than the moab Gary Ridgeway Pedro Alonso Omar Mateen in one night John Wayne Gacy,Planet Awesome!,US,1061.0,0.09999999999999999,Positive,USA
04-14-2017,realjustincuomo,2.0,"RIP #SWEDEN. goodbye Swedish women😭😭😭 chalk another for #ISIS.

MORE #MOAB PLEASE @realDonaldTrump !!!

https://t.co/gpt6VLO3o0
#rapefugees",RIP SWEDEN goodbye Swedish women chalk another for ISIS MORE MOAB PLEASE realDonaldTrump https t co gpt6VLO3o0 rapefugees,"Hollywood, CA",US,3904.0,0.5,Positive,USA
04-14-2017,lisabianconi,1.0,And what if we said we would then didn't? Who would pay for the #MOAB then? 🖕🏼 https://t.co/QkmCZHGVEM,And what if we said we would then didn t Who would pay for the MOAB then https t co QkmCZHGVEM,NoHo Arts District,US,1145.0,0.0,neutral,USA
04-14-2017,CrazyWorld463,0.0,"@LBC @NIAbbot Here you go you FOOL, Nick A!! (Bet you won't DARE refer to THIS video about the #MOAB)?! GET OFF YOU… https://t.co/8A576KKk3M", LBC NIAbbot Here you go you FOOL Nick A Bet you won t DARE refer to THIS video about the MOAB GET OFF YOU https t co 8A576KKk3M,None,US,95.0,0.0,neutral,USA
04-14-2017,FPRInews,1.0,FPRI's Mac Owens says use of #MOAB enhances US deterrence capability: https://t.co/ovW1ps7AWE @theIWP,FPRI s Mac Owens says use of MOAB enhances US deterrence capability https t co ovW1ps7AWE theIWP,Philadelphia PA USA,US,5187.0,0.0,neutral,USA
04-14-2017,SuzanneGavenus,0.0,Grrrrrr! This guy is a madman. I will not sleep well until he is out of office. #moab #trumpwatch https://t.co/9Fp8oxFM2I,Grrrrrr This guy is a madman I will not sleep well until he is out of office moab trumpwatch https t co 9Fp8oxFM2I,,US,94.0,0.0,neutral,USA
04-14-2017,parkstorm,1.0,tRump dropped a  $16 million #moab in #Afghanistan and allegedly killed 36 people.  He really thinks we're all stupid. #russiagate @cspanwj,tRump dropped a 16 million moab in Afghanistan and allegedly killed 36 people He really thinks we re all stupid russiagate cspanwj,Michigan ,US,666.0,-0.26666666666666666,negative,USA
04-14-2017,Zoot16,0.0,#ImFuriousBecause @amazon won't give me free 2 day shipping on a new #MOAB, ImFuriousBecause amazon won t give me free 2 day shipping on a new MOAB,Arizona,US,3974.0,0.2681818181818182,Positive,USA
