created_at,user,retweet_count,text,clean_text,user_loc,country,user_followers_count
04-14-2017,007Mugambo,0,So the world's richest country bombed one of poorest killing so called terrorist it created. Yeah makes sense #moab #terrorism #isis,So the world s richest country bombed one of poorest killing so called terrorist it created Yeah makes sense moab terrorism isis,,,388
04-14-2017,CHamiltonBooks,0,"I just heard my friend say ""The only good thing my taxes bought this year was the #MOAB delivered to #ISIS"" #TRUMP @realDonaldTrump",I just heard my friend say The only good thing my taxes bought this year was the MOAB delivered to ISIS TRUMP realDonaldTrump,,,7914
04-14-2017,BlackBerry_Mama,0,This is what the Kingdom of #Moab is known for in my Bible's #History. The Baal of Peor. Numbers 25. https://t.co/0dliO6OTX8,This is what the Kingdom of Moab is known for in my Bible s History The Baal of Peor Numbers 25 https t co 0dliO6OTX8,"Manhattan, NY",US,3355
04-14-2017,Cheloga2,3,You Could Get 68 #HillaryClinton Speeches For The Price Of One #MotherofAllBomb #MOAB I will take the Bomb https://t.co/G6tA22hj7x,You Could Get 68 HillaryClinton Speeches For The Price Of One MotherofAllBomb MOAB I will take the Bomb https t co G6tA22hj7x,,,5772
04-14-2017,LoganSFrawley,0,"Some truth, I'm FAR from supporting everything Trump does, even far from supporting most things he does. But the #MOAB was the right call.",Some truth I m FAR from supporting everything Trump does even far from supporting most things he does But the MOAB was the right call ,,,1016
04-14-2017,katierapson,0,"""No way to lead a PTA, let alone a country"" @POTUS take responsibility for your actions as commander in chief… https://t.co/UOmyyVBeMo", No way to lead a PTA let alone a country POTUS take responsibility for your actions as commander in chief https t co UOmyyVBeMo,,,24
04-14-2017,blackcatLTD_,0,Anyone ever stay at the Trump Hotel the day after #moab was deployed? I have,Anyone ever stay at the Trump Hotel the day after moab was deployed I have,,,320
04-14-2017,rooftoptales,0,"Fins n' Things, 04.11.2017 // #sandflatsrecreationarea #moab #utah #landscape #geology… https://t.co/RCovNoFC7N",Fins n Things 04 11 2017 sandflatsrecreationarea moab utah landscape geology https t co RCovNoFC7N,"Greenville, SC",US,350
04-14-2017,RobertS66633565,1,#MOAB   Soulution the complaints about the $314M cost. This was to develop. So drop 314 more.  Cost now seems very reasonable. MAGA!, MOAB Soulution the complaints about the 314M cost This was to develop So drop 314 more Cost now seems very reasonable MAGA ,,,89
04-14-2017,geauxcrimson,0,"Politicizing #MOAB is a fool's errand. You can be for/against bombs, but railing on Trump specifically for it shows your blind party loyalty",Politicizing MOAB is a fool s errand You can be for against bombs but railing on Trump specifically for it shows your blind party loyalty,,,2150
04-14-2017,SmallTownJuJu,0,@PlaysTrumpCard @ericbolling Freedom isn't free. I don't give a rat's patootey what the damn munitions cost. #MOAB #ISIS, PlaysTrumpCard ericbolling Freedom isn t free I don t give a rat s patootey what the damn munitions cost MOAB ISIS,,,460
04-14-2017,hippazoid,0,"My calculations confirm that it would have been a #MetricFuckTon cheaper to just drop (36) 500lb bombs. #MOAB

https://t.co/8zOqjeoarq",My calculations confirm that it would have been a MetricFuckTon cheaper to just drop 36 500lb bombs MOAB https t co 8zOqjeoarq,,,164
04-14-2017,BlackIrishI,0,"Although, I will always celebrate those who fight our wars I will never celebrate war. War is hell and our loved ones die. #MOAB",Although I will always celebrate those who fight our wars I will never celebrate war War is hell and our loved ones die MOAB,,,18459
04-14-2017,DrHorseshark,5,"BREAKING:
Obama is outraged that ISIS #MOAB bombing was not announced beforehand.

#Trump #NorthKorea #POTUS #WTF #MAGA 
@bfraser747 #2A",BREAKING Obama is outraged that ISIS MOAB bombing was not announced beforehand Trump NorthKorea POTUS WTF MAGA bfraser747 2A,,,2735
04-14-2017,loomer_michael,0,Really? Where did OBL get caught? I wish they dropped that #MOAB there and smashed all the fucks that were protecti… https://t.co/tpb9gpoKF4,Really Where did OBL get caught I wish they dropped that MOAB there and smashed all the fucks that were protecti https t co tpb9gpoKF4,,,90
04-14-2017,Hogan80Hogan,2,"I wish completing  ""bombing the hell out of ISIS"" was as easy as one #MOAB &amp; a check mark.
I also wish ""POTUS"" coul… https://t.co/K3YHvV9nHn",I wish completing bombing the hell out of ISIS was as easy as one MOAB amp a check mark I also wish POTUS coul https t co K3YHvV9nHn,,,6651
04-14-2017,TeriosDaddy,0,"The following individuals killed more people than the #moab 
Gary Ridgeway
Pedro Alonso
Omar Mateen (in one night)
John Wayne Gacy",The following individuals killed more people than the moab Gary Ridgeway Pedro Alonso Omar Mateen in one night John Wayne Gacy,Planet Awesome!,US,1061
04-14-2017,W_C_Patriot,6,2016 The year America dodged the original #MOAB #MotherOfAllBombs https://t.co/2WXqE6NOmD,2016 The year America dodged the original MOAB MotherOfAllBombs https t co 2WXqE6NOmD,,,4783
04-14-2017,PPete_En,0,"@LBC #Trump: If he could hear your show, Nick, he might get into a temper tantrum and #MOAB London! ☺", LBC Trump If he could hear your show Nick he might get into a temper tantrum and MOAB London ,,,2239
04-14-2017,_a_y0,0,@vexxedb4c you may have last vids of NK before boom! #moab, vexxedb4c you may have last vids of NK before boom moab,,,110
04-14-2017,SgtTim911,3,"@JessieJaneDuff Someone buy @SenWarren clues that dropping a #MOAB on #ISIS in a cave complex was a smart tactic, s… https://t.co/9vpZC3ki6t", JessieJaneDuff Someone buy SenWarren clues that dropping a MOAB on ISIS in a cave complex was a smart tactic s https t co 9vpZC3ki6t,,,1723
